ALBUM,ID,AmSong,MOJO,Q,RoughT,UNCUT,SPIN,SGUM,RS,CPLEX,CoS,GvB,PASTE,NME,QUIETUS,NOISEY,NPR,POPMAT,FACT,PFORK,WIRE,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Nicole Dollanganger - Natural Born Losers,330,,,,,,,,,,,,,,,18,,,,,,,18.00,18,72.15,1,0
Georgia - Georgia,117,,,,19,,,,,,,,,,,,,,,,,,19.00,19,72.2,1,0
Hudson Mohawke - Lantern,208,,,,,,,,,19,,,,,,,,,,,,,19.00,19,72.2,1,0
Autre Ne Veut - Age of Transparency,246,,,,,,,,,,,19,,,,,,,,,,,19.00,19,72.2,1,0
Sunn O))) - Kannon,304,,,,,,,,,,,,,,19,,,,,,,,19.00,19,72.2,1,0
J Hus - The 15th Day,331,,,,,,,,,,,,,,,19,,,,,,,19.00,19,72.2,1,0
Dungen - Allas Sak,58,,20,,,,,,,,,,,,,,,,,,,,20.00,20,72.25,1,0
Everything Everything - Get to Heaven,95,,,20,,,,,,,,,,,,,,,,,,,20.00,20,72.25,1,0
Screaming Females - Rose Mountain,174,,,,,,,20,,,,,,,,,,,,,,,20.00,20,72.25,1,0
Don Henley - Cass County,190,,,,,,,,20,,,,,,,,,,,,,,20.00,20,72.25,1,0
Lady Lamb The Beekeeper - After,228,,,,,,,,,,20,,,,,,,,,,,,20.00,20,72.25,1,0
The Galleria - Calling Card / Mezzanine,247,,,,,,,,,,,20,,,,,,,,,,,20.00,20,72.25,1,0
Boogie - The Reach,370,,,,,,,,,,,,,,,,,,20,,,,20.00,20,72.25,1,0
The Fall - Sub-Lingual Tablet,96,,,21,,,,,,,,,,,,,,,,,,,21.00,21,72.3,1,0
Mac Miller - GO:OD AM,209,,,,,,,,,21,,,,,,,,,,,,,21.00,21,72.3,1,0
Toro Y Moi - Samantha,248,,,,,,,,,,,21,,,,,,,,,,,21.00,21,72.3,1,0
Hawthonn - Hawthonn,306,,,,,,,,,,,,,,21,,,,,,,,21.00,21,72.3,1,0
