ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Frank Ocean - Endless,275,alternative r&b,,,,,,,,,,38,,,,38,,,,,,,,,,,,,,,,,,5,,,,,,27.00,9,71,3,1
dvsn - Sept 5th,280,alternative r&b,,,,,,,,,,14,,,,33,,,,,,,,,,,34,,,,,,,,,,,,,27.00,9,71,3,0
Hiss Golden Messenger - Heart Like a Levee,164,indie folk,,,16,,,,45,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,9.444444444,71.11111111,3,0
Gallant - Ology,360,alternative r&b,,,,,,,,,,,,,,24,,,,,,,,,42,,,19,,,,,,,,,,,,28.33,9.444444444,71.11111111,3,0
Huerco S. - For Those of You Who Have Never...,376,ambient,,,,,,,,,,,,,,,30,,,,,,,,,,,,41,,,,,44,,,45,,,40.00,10,71.11111111,4,0
The Drones - Feelin Kinda Free,430,art rock,,,,,,,,,,,,,,,,,,7,,,,,,3,,,,,,,,,,,,,,5.00,2.5,71.11111111,2,2
Pedder Mannerfelt - Controlling Body,382,electronic,,,,,,,,,,,,,,,19,,,,,,,,,,,,,20,50,,,,,,,,,29.67,9.888888889,71.22222222,3,0
Oranssi Pazuzu - Varahtelija,384,psychedelic rock,,,,,,,,,,,,,,,17,,,,27,,,,,,45,,,,,,,,,,,,,29.67,9.888888889,71.22222222,3,0
Bitchin Bajas & Bonnie Prince Billy - Epic Jammers...,125,ambient,,43,,,,,,,,18,,,,,,,,,,,,,,,,,,,32,,,,,,,,,31.00,10.33333333,71.33333333,3,0
Cymbals Eat Guitars - Pretty Years,464,indie rock,,,,,,,,,,,,,,,,,,,,,,42,,,29,,,,,,23,,,,,,,31.33,10.44444444,71.36111111,3,0
M83 - Junk,240,synthpop,,,,,,,,43,,,,,,,,,,,,20,,,,,,34,,,,,,,,,,,,32.33,10.77777778,71.44444444,3,0
Ka - Honor Killed The Samurai,354,hip hop,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,48,,,,12,,32.33,10.77777778,71.44444444,3,0
Dedekind Cut - $uccessor,579,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,5,,,11.00,5.5,71.44444444,2,1
Brandy Clark - Big Day in a Small Town,216,country,,,,,,27,,,,,21,,,,,,,,,,,,50,,,,,,,,,,,,,,,32.67,10.88888889,71.47222222,3,0
Ariana Grande - Dangerous Woman,349,pop,,,,,,,,,,,,,,49,,,27,,,,,,,,,22,,,,,,,,,,,,32.67,10.88888889,71.47222222,3,0
Factory Floor - 25 25,31,electronic,31,,,,,,,,,,,,,,50,,,,,,19,,,,,,,,,,,,,,,,,33.33,11.11111111,71.52777778,3,0
Leon Vynehall - Rojus,265,deep house,,,,,,,,,22,,,31,,,,,,,,48,,,,,,,,,,,,,,,,,,33.67,11.22222222,71.55555556,3,0
Bruno Mars - 24K Magic,359,funk,,,,,,,,,,,,,,28,,,,,,,,,31,,42,,,,,,,,,,,,,33.67,11.22222222,71.55555556,3,0
Idris Ackamoor & The Pyramids - We Be All Africans,365,jazz,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,24,,,,,,30,,,33.67,11.22222222,71.55555556,3,0
Common - Black America Again,413,hip hop,,,,,,,,,,,,,,,,,38,,,,,16,,47,,,,,,,,,,,,,,33.67,11.22222222,71.55555556,3,0
Puce Mary - The Spiral,371,death industrial,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,38,,,25,,,,,,34.67,11.55555556,71.63888889,3,0
Flume - Skin,427,wonky,,,,,,,,,,,,,,,,,,27,,,,,,,,42,,,,,35,,,,,,,34.67,11.55555556,71.63888889,3,0
Rae Sremmurd - SremmLife2,278,hip hop,,,,,,,,,,25,,,,30,,,,,,,,,,,,50,,,,,,,,,,,,35.00,11.66666667,71.66666667,3,0
Swans - The Glowing Man,61,post-rock,,,46,,,,,,,,,,,,,,,,32,28,,,,,,,,,,,,,,,,,,35.33,11.77777778,71.69444444,3,0
Katie Gately - Color,298,glitch pop,,,,,,,,,,,,49,,,23,,,,,,,,,,,,,,34,,,,,,,,,35.33,11.77777778,71.69444444,3,0
S U R V I V E - RR7349,46,synthwave,46,,,,,,,,,,,19,,,,,,,,42,,,,,,,,,,,,,,,,,,35.67,11.88888889,71.72222222,3,0
Field Music - commontime,118,progressive pop,,35,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,36,,,,,35.67,11.88888889,71.72222222,3,0
