ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Toro y Moi - MAHAL,114,soul,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,34.00,17,74.85106383,2,0,0
alt-J - The Dream,551,pop,,,,,,,,,,,,,,,,,,,,,33,,,,35,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,74.85106383,2,0,0
SAULT - 11,333,soul,,,,,,,29,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,74.85106383,2,0,0
Grace Cummings - Storm Queen,165,folk,,,47,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,74.85106383,2,0,0
OFF! - Free LSD,870,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,21,,,,,,,,,,,,,,,,,,,,34.00,17,74.85106383,2,0,0
King Gizzard and the Lizard Wizard - Changes,285,rock,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,34.50,17.25,74.87234043,2,0,0
KEN mode - NULL,284,rock,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,34.50,17.25,74.87234043,2,0,0
Kehlani - Blue Water Road,172,r&b,,,,21,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,34.50,17.25,74.87234043,2,0,0
Noah Cyrus - The Hardest Part,864,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,20,,,,,,,,,,,35.00,17.5,74.89361702,2,0,0
Neil Young & Crazy Horse - World Record,856,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,44,,,,,,,,,35.00,17.5,74.89361702,2,0,0
